id,timestamp,label,note,severity_trigger,n_samples,duration_ms,sample_rate_hz,peak_abs_z,peak_abs_x,peak_abs_y,peak_to_peak_z,rms_z,std_z,std_pre_z,std_post_z,peak_magnitude,mean_magnitude,jerk_max,peak_offset_ms,is_real_event,gap_since_prev_s
ca1cc2e9-aa45-45f2-ab3b-d907363faf4b,1789360065617,FALSE_POSITIVE,,79.22712707519531,298,2997.0,99.43276609943277,79.22713,6.114791,6.9623384,90.349993,9.68741010592972,4.7182778821228055,1.3196043667740027,7.70348940713647,79.46782297210825,9.89471423134096,9.034999299999999,0.0,0,
054a6c78-3a43-4253-bafd-db5603c257b8,1789360067439,FALSE_POSITIVE,,37.41239547729492,298,2997.0,99.43276609943277,79.22713,8.413225,5.9998693,90.349993,10.69571275682694,5.839705049194256,5.882727623949108,5.745049726756381,79.46782297210825,9.98178170243896,9.034999299999999,-1827.0,0,1.822
6ca32f0a-8624-4d15-b2fe-c701d759f741,1789360069287,FALSE_POSITIVE,,33.351829528808594,298,2997.0,99.43276609943277,37.412395,36.801273,31.99611,45.233653499999996,8.444254206707258,4.894396037612502,5.442275553477704,3.4696552873771687,51.30386927696094,10.167695304858517,3.89440865,-1847.0,0,1.848
65195ddd-dfd6-4e10-b7f3-1c37d75ed4b5,1789360112285,FALSE_POSITIVE,,15.773599624633789,298,2997.0,99.43276609943277,15.7736,5.509058,7.6255326,18.444930499999998,7.53162902932394,1.9877529564199143,2.16293871253387,1.5350876300184895,16.650737881891093,9.937967675981973,0.38833949999999995,0.0,0,42.998
ea796e88-4f7c-414a-bd5c-2c95672165bb,1789360113893,FALSE_POSITIVE,,15.71613883972168,298,2997.0,99.43276609943277,16.6403,5.509058,7.6255326,19.3116305,7.8490539251799065,2.5555173484895075,2.7161251415660277,2.1587292337874833,17.474413034104483,9.965645606076224,0.38833949999999995,10.0,0,1.608
68e4650d-a4f9-441f-8538-d8eec94aaa3a,1789382566996,FALSE_POSITIVE,,15.471929550170898,297,2987.0,99.43086709072648,15.627553,9.289502,16.76899,13.7211698,9.368690362253545,1.6237804191181835,1.2661772868184376,2.100096198561137,18.857774986089087,10.023311512209085,1.2035652000000001,787.0,0,22453.103
4da0daf9-d458-490c-9884-a0c14a30a06a,1789383573366,ROUGH_ROAD,,15.742474555969238,297,2986.0,99.46416610850636,15.742475,5.3558292,6.4667387,11.377247,8.896049963569698,1.349436249096612,1.0734150908023339,1.7772125610680476,16.995898367800695,9.818594987895974,0.61171853,0.0,1,1006.37
effd122e-f5df-42ad-a86c-c0f2ae4cb6e7,1789383755081,ROUGH_ROAD,,17.728464126586914,191,2975.0,64.2016806722689,18.742409,8.409634,8.643068,19.9413055,8.55655159895149,2.509779959656428,2.801256358937849,2.1671782329337606,19.043511028232132,9.879643130149383,0.363739075,20.0,1,181.715
fad4e112-d056-44fa-8189-7d8e93246a88,1789383760906,FALSE_POSITIVE,,36.153045654296875,298,2997.0,99.43276609943277,36.153046,13.412318,19.275719,35.86753746,9.12226029850911,2.718312598576164,1.8668334018968935,3.8637138074578155,38.65741394653678,9.952332240913046,3.0123847400000003,0.0,0,5.825
7a0b0705-460d-4b6d-a2c4-12783adcb7d6,1789384593956,SPEED_BUMP,,26.075849533081055,298,2997.0,99.43276609943277,26.07585,18.38268,10.070012,25.22052144,9.218230083496659,2.067495472019393,1.6718700799093216,2.4859437172811774,31.39539322549355,10.189097698980632,1.3036428999999998,0.0,1,833.05
d7692535-ed19-4d6b-aae8-a4afd36e3077,1789384610103,FALSE_POSITIVE,,17.679384231567383,297,2994.0,99.19839679358716,19.515738,13.627796,22.41691,23.8582215,9.23295759304849,2.197050070721701,1.8222839341135613,2.754632254270621,25.586306043268777,10.040787612216997,2.2567745500000003,151.0,0,16.147
964a51cd-9c23-4361-9e71-4fcdcc78ecf3,1789384805045,POTHOLE,,20.054431915283203,149,2987.0,49.88282557750251,20.054432,10.972627,12.097901,28.172570999999998,8.38615793038991,3.1455407482942532,2.00876162435954,4.6212188129101905,22.18444034040701,10.401977995897695,1.40862855,0.0,1,194.942
441eaa05-7e1e-44d0-b001-4038b80a7101,1789384808184,POTHOLE,,37.98939514160156,251,2992.0,83.8903743315508,49.002724,11.657368,10.390836,48.69327343,8.857404933029335,4.286400897439726,2.026710880617704,5.554158995708096,50.37159053478155,10.127951574373544,2.8955475,10.0,1,3.139
33677bb5-e43d-4503-9eac-ff8702d9e433,1789385414945,FALSE_POSITIVE,,36.20930862426758,298,2997.0,99.43276609943277,36.20931,8.281544,8.307879,56.345146,9.469855504454493,3.987034770946482,1.4021898185395874,6.579150928813139,36.53437139103493,10.324589944014635,5.6345146,0.0,0,606.761
b44cf376-c913-4a8a-9584-a85d36d34e57,1789385427243,FALSE_POSITIVE,,16.046537399291992,298,2997.0,99.43276609943277,16.046537,8.511387,6.6415157,14.1832496,8.373647003059922,1.8252774171576256,1.2623556605228494,2.4663412485249143,16.594048672350183,9.862203283807021,0.46782699999999994,0.0,0,12.298
b67fecad-aa82-4fe5-8217-58df59214e10,1789385441422,FALSE_POSITIVE,,25.120563507080078,298,2994.0,99.53239812959251,25.120564,9.224859,18.107347,25.878927370000003,8.409748900475051,2.2130390739092616,2.160767665188931,2.189220904438112,26.451435496441714,9.984088629465349,1.8559852600000002,0.0,0,14.179
0e888970-eee6-4022-aa4d-79e4fa5ecd8b,1789386234741,FALSE_POSITIVE,,16.38890838623047,297,2989.0,99.36433589829375,16.388908,8.743625,10.405201,18.164807,8.254791615382164,2.5690548497493224,0.6565299323360592,3.988499124814562,18.63008723212366,9.864504692310083,0.8264783000000001,0.0,0,793.319
